model,term,se_type,coefficient,standard_error,p_value,ci_low,ci_high,irr,irr_ci_low,irr_ci_high,irr_10pp,irr_10pp_ci_low,irr_10pp_ci_high,n,alpha
source_event_robustness,C(source_record_id)[T.2020-0446-IND],ordinary,-2.307409571882036,0.8748854915048442,0.008354803305502312,-4.022153625828154,-0.5926655179359182,0.09951871402173937,0.017914342574506477,0.5528516829099207,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2021-0316-IND],ordinary,-3.935687976200447,0.8613748330624653,4.898766927386583e-06,-5.62395162619208,-2.2474243262088134,0.01953225697605548,0.0036103461450014175,0.10567104849679676,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2021-0366-IND],ordinary,-3.2938024693112182,1.2697890786028028,0.00948730931773542,-5.782543331335011,-0.805061607287425,0.037112461758596074,0.003080869762821135,0.4470603835333949,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2021-0435-IND],ordinary,-7.423998684571554,1.3266490087320988,2.1928619567150995e-08,-10.024182961812231,-4.823814407330877,0.0005967581207329576,4.431519392116621e-05,0.008036075737234624,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2021-0458-IND],ordinary,-1.3214766927795758,1.0791382560603324,0.22073854901863388,-3.4365488089971903,0.7935954234380385,0.26674111631145325,0.032175537857971725,2.211332828223478,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2021-0585-IND],ordinary,-2.1829105313252986,1.0819048739052701,0.04362722829580407,-4.3034051188779765,-0.06241594377262061,0.11271299805856848,0.013522435029150908,0.9394920296502675,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2021-0677-IND],ordinary,0.561979974469744,1.0310308333823148,0.585708044206219,-1.4588033259099102,2.5827632748493983,1.7541422209972446,0.23251435221338215,13.233655910673935,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2021-0722-IND],ordinary,-1.966147230392049,0.8521122373317314,0.02103361276033936,-3.6362565263480895,-0.2960379344360087,0.1399951877200189,0.02635080309822813,0.7437592133987436,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2021-0748-IND],ordinary,-0.09019865122174914,1.1357795033802063,0.9367020324681372,-2.316285572225742,2.135888269782244,0.9137496497564023,0.09863929451940903,8.464561983111702,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2022-0293-IND],ordinary,-0.7726049147218028,0.8405156527840881,0.35798915021076916,-2.419985322620789,0.8747754931771832,0.4618085282963312,0.0889229226052639,2.3983367905476234,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2022-0539-IND],ordinary,-3.4901116682549116,1.040251033189454,0.0007934583213895725,-5.528966228186822,-1.4512571083230013,0.030497466382211645,0.003970091136748045,0.23427559310287846,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2023-0330-IND],ordinary,0.4420696866473604,1.0804977048229263,0.6824404169263921,-1.6756669001837654,2.559806273478486,1.5559241637947554,0.18718330526658655,12.93331154737631,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2023-0359-IND],ordinary,-1.9901209303614842,0.8548062900698392,0.01990391244174972,-3.6655104726566674,-0.31473138806630097,0.13667889581779857,0.02559110438980547,0.7299849306001225,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2023-0428-IND],ordinary,-2.4791109425412308,0.8223871481313171,0.002573775360837321,-4.090960134227219,-0.8672617508552429,0.08381771123763315,0.016723169360630848,0.4201003150547675,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2023-0486-IND],ordinary,-1.1835168733782853,1.0783408527997473,0.2724075710088961,-3.297026107923998,0.9299923611674275,0.3061999762328391,0.036993017220306026,2.5344898170005394,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2023-0846-IND],ordinary,0.9699128241781866,1.220062643912983,0.4266311325025115,-1.4213660167739768,3.3611916651303497,2.6377145044014116,0.24138405691219564,28.823518403539033,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2024-0399-IND],ordinary,-6.848737568538985,1.3553549788004426,4.3470736494823377e-07,-9.5051845132549,-4.192290623823069,0.0010607940277061198,7.44647638250615e-05,0.01511163013771962,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2024-0481-IND],ordinary,-0.9265148863896188,0.8359789172678866,0.2677325582952993,-2.565003456069466,0.7119736832902285,0.39593117379167597,0.07691891560425954,2.038009677444976,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2024-0561-IND],ordinary,1.1807102672251677,1.2265973876190328,0.3357533637834764,-1.2233764360390529,3.5847969704893883,3.256686499301384,0.29423502211540825,36.04603856631279,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2024-0624-IND],ordinary,-0.9072724865824107,1.1339861624719383,0.42366810717643666,-3.129844523994196,1.3152995508293746,0.4036236128729381,0.043724594849668265,3.7258669046270048,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2024-0647-IND],ordinary,-1.2496571760585413,0.8694355763370127,0.15062707759167007,-2.953719592556911,0.45440524043982844,0.28660303440202506,0.0521453851888228,1.57523621756763,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2025-0402-IND],ordinary,-0.9964874406644652,0.8575870735695635,0.24524907742078816,-2.6773272184679113,0.6843523371389811,0.36917391165813773,0.06874665360421402,1.9824874361683293,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2025-0469-IND],ordinary,-1.4254176848050018,1.0083025202426414,0.15745571183144547,-3.4016543100015477,0.5508189403915442,0.24040802745449,0.03331810586788211,1.734673030145836,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2025-0751-IND],ordinary,-1.1072296595935458,0.9626553148024479,0.25006855715715803,-2.993999406132412,0.7795400869453202,0.33047321739725344,0.050086718485197815,2.180469208602038,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2025-0803-IND],ordinary,-1.8369668292810102,0.9582845745015722,0.05524650965234817,-3.715170082244382,0.04123642368236169,0.15929987778271715,0.024351299039192704,1.0420984531768085,,,,1070,2.5854852323672026
source_event_robustness,C(source_record_id)[T.2025-0859-IND],ordinary,-1.893643216704879,0.8804763798640994,0.03149964717928366,-3.6193452104767214,-0.16794122293303637,0.1505224228725102,0.02680021925139145,0.8454035235638769,,,,1070,2.5854852323672026
source_event_robustness,log_flood_area,ordinary,0.11408845729516313,0.04300986589303039,0.007987178472780722,0.029790669164925926,0.19838624542540034,1.1208512679705687,1.0302388506207922,1.2194333034074736,,,,1070,2.5854852323672026
source_event_robustness,urban_population_share,ordinary,1.014823045952583,0.3054390130014185,0.0008921265572820902,0.4161735809963415,1.6134725109088248,2.758875160053881,1.516149020688444,5.020213742120277,1.106810332761838,1.0424954999634017,1.1750929502826408,1070,2.5854852323672026
